Tx_Power_dBm,Target_SNR_dB,Mean_Channel_Gain,Noise_Power_Watts,Phase_Noise_Var,BPSK_BER,QPSK_BER,8PSK_BER,16QAM_BER,64QAM_BER,256QAM_BER,Label_Best_Scheme
16.18,33.7,0.9745,1.7706832229856396e-05,0.03,0.0,0.0,0.0,0.0,3.3333333333333335e-05,0.0027,64QAM
24.02,19.3,0.974,0.0029647598149332858,0.03,0.0,0.0,0.00013333333333333334,0.00115,0.021166666666666667,0.0696,8PSK
16.87,22.2,0.9786,0.000292706776504361,0.03,0.0,0.0,0.0,0.0002,0.0063,0.044925,16QAM
28.45,16.14,0.9817,0.017006766936396016,0.03,0.0,0.0001,0.0019333333333333331,0.00615,0.05003333333333334,0.090125,QPSK
24.94,35.87,0.9744,8.056464998602286e-05,0.03,0.0,0.0,0.0,0.0,0.0,0.002175,64QAM
10.17,1.01,0.9759,0.008236820456368815,0.03,0.0696,0.1356,0.1844,0.1813,0.1534,0.122475,BPSK
16.37,13.97,0.9789,0.0017407938534608075,0.03,0.0,0.0005,0.0084,0.01825,0.07566666666666667,0.100825,QPSK
27.69,31.04,0.9807,0.0004627133658938039,0.03,0.0,0.0,0.0,0.0,3.3333333333333335e-05,0.0043,64QAM
18.5,14.12,0.9763,0.002739930196476686,0.03,0.0,0.0004,0.0076,0.0159,0.07483333333333334,0.099825,QPSK
11.63,32.69,0.9787,7.826193841406931e-06,0.03,0.0,0.0,0.0,0.0,0.0,0.003025,64QAM
24.05,27.41,0.9819,0.0004605372710435557,0.03,0.0,0.0,0.0,0.0,0.0002666666666666667,0.01355,64QAM
17.15,16.51,0.9728,0.0011571027165807476,0.03,0.0,0.0,0.0015333333333333334,0.00555,0.04673333333333333,0.0878,QPSK
15.62,16.99,0.9741,0.0007298741999481116,0.03,0.0,0.0,0.001,0.0042,0.04273333333333334,0.085975,8PSK
11.07,39.33,0.9797,1.4901352783550713e-06,0.03,0.0,0.0,0.0,0.0,0.0,0.001575,64QAM
17.43,38.14,0.9772,8.487375421175521e-06,0.03,0.0,0.0,0.0,0.0,0.0,0.00155,64QAM
21.35,15.55,0.9761,0.0038049096324464715,0.03,0.0,0.0002,0.0028666666666666667,0.00885,0.057666666666666665,0.093875,QPSK
20.86,30.62,0.9769,0.00010566816756546505,0.03,0.0,0.0,0.0,0.0,6.666666666666667e-05,0.004925,64QAM
17.82,21.71,0.9762,0.00040868548597915757,0.03,0.0,0.0,6.666666666666667e-05,0.00015,0.008133333333333334,0.04975,16QAM
13.34,36.85,0.981,4.460277289041416e-06,0.03,0.0,0.0,0.0,0.0,0.0,0.001425,64QAM
26.85,5.73,0.9815,0.12955503775886515,0.03,0.0092,0.0393,0.10286666666666666,0.123,0.1378,0.119325,BPSK
18.38,8.54,0.9771,0.009631192103841495,0.03,0.0014,0.0108,0.061599999999999995,0.08795,0.12480000000000001,0.115775,BPSK
18.45,31.67,0.9744,4.77038786409599e-05,0.03,0.0,0.0,0.0,0.0,6.666666666666667e-05,0.003825,64QAM
21.03,28.79,0.9712,0.00016760372478407095,0.03,0.0,0.0,0.0,0.0,0.00016666666666666666,0.0091,64QAM
25.24,28.88,0.9738,0.00043336547080511826,0.03,0.0,0.0,0.0,0.0,0.00013333333333333334,0.008175,64QAM
29.47,3.13,0.9831,0.43051606223979283,0.03,0.0344,0.0875,0.15146666666666667,0.16135,0.14693333333333333,0.121525,BPSK
21.87,17.16,0.9787,0.00296143045615511,0.03,0.0,0.0,0.0014,0.0045,0.0385,0.084075,QPSK
24.98,12.75,0.9802,0.016693582012111186,0.03,0.0,0.0004,0.014199999999999999,0.0287,0.08956666666666667,0.106375,QPSK
27.1,13.88,0.9796,0.020989113190133534,0.03,0.0,0.0003,0.008133333333333334,0.02005,0.07573333333333333,0.101625,QPSK
26.63,9.7,0.9825,0.049325262893120586,0.03,0.0006,0.0056,0.040933333333333335,0.0658,0.1159,0.11345,BPSK
25.56,26.11,0.9779,0.0008818712544703212,0.03,0.0,0.0,0.0,0.0,0.0006333333333333333,0.018475,64QAM
24.82,19.68,0.9777,0.00326096811763416,0.03,0.0,0.0,6.666666666666667e-05,0.00055,0.018033333333333335,0.065325,16QAM
23.61,20.39,0.9787,0.0020975186488344415,0.03,0.0,0.0,0.00019999999999999998,0.00045,0.013766666666666668,0.060025,16QAM
16.82,22.59,0.9735,0.0002646046449253085,0.03,0.0,0.0,6.666666666666667e-05,5e-05,0.0050999999999999995,0.041425,16QAM
14.8,25.56,0.9794,8.40022517217669e-05,0.03,0.0,0.0,0.0,0.0,0.0009666666666666666,0.020825,64QAM
18.74,0.66,0.9783,0.06430658092703043,0.03,0.0802,0.1376,0.18566666666666667,0.18125,0.153,0.122475,BPSK
15.39,30.46,0.9816,3.1133317974194306e-05,0.03,0.0,0.0,0.0,0.0,9.999999999999999e-05,0.0053,64QAM
15.65,32.6,0.9792,2.0220050858771624e-05,0.03,0.0,0.0,0.0,0.0,3.3333333333333335e-05,0.0029,64QAM
16.35,6.8,0.9755,0.009013455409465049,0.03,0.0058,0.0243,0.08573333333333333,0.11335,0.1341,0.118275,BPSK
25.47,23.58,0.9785,0.0015440960155981257,0.03,0.0,0.0,0.0,0.0,0.0026666666666666666,0.033325,16QAM
21.98,3.48,0.9794,0.07072971468994499,0.03,0.0266,0.0737,0.1434,0.1537,0.14553333333333332,0.120775,BPSK
11.23,17.65,0.9757,0.00022789973691016274,0.03,0.0,0.0,0.0007999999999999999,0.00305,0.0341,0.0801,8PSK
15.63,36.76,0.9767,7.708259898678037e-06,0.03,0.0,0.0,0.0,0.0,0.0,0.001525,64QAM
13.31,11.96,0.9762,0.0013653586290043843,0.03,0.0,0.0014,0.019333333333333334,0.037,0.09576666666666667,0.108575,BPSK
28.98,4.62,0.9823,0.2728777287489779,0.03,0.019,0.0536,0.12653333333333333,0.14145,0.14316666666666666,0.12025,BPSK
26.24,30.49,0.978,0.0003752823713195022,0.03,0.0,0.0,0.0,0.0,3.3333333333333335e-05,0.005225,64QAM
17.79,26.04,0.979,0.0001494715838979584,0.03,0.0,0.0,0.0,0.0,0.0008666666666666666,0.018925,64QAM
21.32,20.35,0.9747,0.0012520543666310923,0.03,0.0,0.0,6.666666666666667e-05,0.0004,0.014266666666666665,0.06225,16QAM
27.65,4.63,0.9767,0.2005799790357701,0.03,0.0202,0.0552,0.12713333333333335,0.1417,0.1423,0.1202,BPSK
20.96,12.54,0.9797,0.00695424784868551,0.03,0.0002,0.0014,0.014133333333333333,0.0294,0.0911,0.106225,BPSK
12.28,3.17,0.973,0.008138640862592167,0.03,0.0334,0.0829,0.1452,0.15875,0.14673333333333333,0.12065,BPSK
23.99,33.54,0.9723,0.0001108626938205938,0.03,0.0,0.0,0.0,0.0,0.0,0.00215,64QAM
20.81,24.68,0.9767,0.00041062786298267886,0.03,0.0,0.0,0.0,0.0,0.0014,0.0265,16QAM
18.74,28.32,0.9739,0.00011019172107425852,0.03,0.0,0.0,0.0,0.0,0.00023333333333333333,0.010725,64QAM
25.11,3.95,0.978,0.13088642494582223,0.03,0.0228,0.0674,0.13720000000000002,0.153,0.1447,0.120325,BPSK
26.14,21.25,0.9789,0.0030861305612359504,0.03,0.0,0.0,0.00013333333333333334,0.0002,0.009533333333333333,0.052525,16QAM
23.45,37.9,0.9781,3.590372073929123e-05,0.03,0.0,0.0,0.0,0.0,0.0,0.0014,64QAM
23.4,13.02,0.9727,0.010915381261924905,0.03,0.0002,0.0009,0.011933333333333332,0.0261,0.08816666666666667,0.104675,QPSK
10.85,2.98,0.9795,0.006119770192033596,0.03,0.0356,0.0886,0.15413333333333332,0.1594,0.14733333333333334,0.1207,BPSK
25.63,8.48,0.9856,0.051874269839744636,0.03,0.001,0.0101,0.05986666666666667,0.0891,0.12556666666666666,0.1163,BPSK
11.97,6.68,0.9786,0.00338143719704094,0.03,0.005,0.0258,0.08906666666666667,0.114,0.13576666666666667,0.118975,BPSK
15.53,0.94,0.9792,0.028780808320213878,0.03,0.0746,0.1357,0.1819333333333333,0.1801,0.15256666666666666,0.122025,BPSK
26.25,13.97,0.9808,0.01687725193193966,0.03,0.0,0.0004,0.0062,0.01725,0.07693333333333334,0.10155,QPSK
26.51,32.7,0.9774,0.00024040592209145325,0.03,0.0,0.0,0.0,0.0,0.0,0.002825,64QAM
18.66,33.8,0.9765,3.0580191590420986e-05,0.03,0.0,0.0,0.0,0.0,0.0,0.002225,64QAM
26.17,12.35,0.9795,0.024090716412403925,0.03,0.0002,0.0005,0.016333333333333335,0.03385,0.09196666666666665,0.10695,QPSK
28.2,30.39,0.9773,0.0006036572840011515,0.03,0.0,0.0,0.0,0.0,3.3333333333333335e-05,0.005475,64QAM
11.59,26.2,0.9729,3.4585652812093196e-05,0.03,0.0,0.0,0.0,5e-05,0.0006666666666666666,0.018,64QAM
14.16,28.49,0.9793,3.690265391525492e-05,0.03,0.0,0.0,0.0,0.0,0.00013333333333333334,0.008525,64QAM
18.93,14.75,0.9728,0.0026180401389966942,0.03,0.0,0.0005,0.004,0.0126,0.06873333333333333,0.0988,QPSK
19.95,13.87,0.9768,0.004061850089959412,0.03,0.0,0.0002,0.008,0.01985,0.07613333333333333,0.10165,QPSK
26.56,39.48,0.9775,5.104049852511985e-05,0.03,0.0,0.0,0.0,0.0,0.0,0.00125,64QAM
17.46,25.12,0.9796,0.00017170946631407384,0.03,0.0,0.0,0.0,5e-05,0.0013333333333333333,0.02315,16QAM
15.17,6.75,0.9807,0.006957511995221037,0.03,0.0072,0.0245,0.09113333333333333,0.1135,0.134,0.118625,BPSK
21.16,27.44,0.9761,0.00023564944343603991,0.03,0.0,0.0,0.0,0.0,0.0003,0.0125,64QAM
27.05,7.0,0.9775,0.10119695653823672,0.03,0.0054,0.0236,0.08213333333333334,0.1089,0.1329,0.117975,BPSK
18.01,2.95,0.9809,0.03206750161256563,0.03,0.0338,0.0872,0.14886666666666667,0.16025,0.14736666666666667,0.120675,BPSK
29.35,8.28,0.9794,0.12793482168490747,0.03,0.003,0.0131,0.06146666666666667,0.09025,0.12563333333333335,0.11525,BPSK
27.14,39.58,0.9752,5.6939382724656226e-05,0.03,0.0,0.0,0.0,0.0,0.0,0.00125,64QAM
26.86,22.09,0.9793,0.002998147163972094,0.03,0.0,0.0,0.0,0.0001,0.0067666666666666665,0.04505,16QAM
29.49,11.36,0.9755,0.06503354079597541,0.03,0.0004,0.0022,0.024133333333333336,0.04645,0.10339999999999999,0.110525,BPSK
17.59,33.4,0.9786,2.6249273919440487e-05,0.03,0.0,0.0,0.0,0.0,0.0,0.0027,64QAM
14.17,12.28,0.9757,0.0015452177704097447,0.03,0.0,0.0019,0.016666666666666666,0.03315,0.0924,0.1076,BPSK
15.62,32.77,0.9805,1.9310931261828607e-05,0.03,0.0,0.0,0.0,0.0,3.3333333333333335e-05,0.00305,64QAM
20.92,19.25,0.9768,0.001468400631047851,0.03,0.0,0.0,0.00019999999999999998,0.00095,0.02316666666666667,0.0698,16QAM
13.57,39.99,0.977,2.2798834870257086e-06,0.03,0.0,0.0,0.0,0.0,0.0,0.001375,64QAM
28.96,5.28,0.9778,0.23352721707632212,0.03,0.0142,0.0438,0.1158,0.135,0.14106666666666667,0.11995,BPSK
10.3,4.59,0.9817,0.003718243935979283,0.03,0.0208,0.0541,0.1246,0.1404,0.14386666666666667,0.12005,BPSK
29.34,33.62,0.9817,0.00037317372581659403,0.03,0.0,0.0,0.0,0.0,0.0,0.0027,64QAM
13.69,29.02,0.9824,2.93312555578405e-05,0.03,0.0,0.0,0.0,0.0,0.0,0.007025,64QAM
